Zeit [s],Q_downhole [lpm]_s,Pint_downhole [MPa]_s
1939.009,1.1311585267272728,2.171277636363637
1940.009,1.1276552771818182,2.1782981818181817
1941.009,1.1243145307272728,2.185424
1942.009,1.122683479,2.1917424545454547
1943.009,1.12338453,2.1989384545454542
1944.009,1.125346063,2.2046250909090905
1945.009,1.1269629868181819,2.209644818181818
1946.009,1.1277407222727271,2.216454727272727
1947.009,1.1273271961818183,2.2217903636363636
1948.009,1.127053562,2.227126
1949.009,1.1279044724545455,2.234322
1950.009,1.1302966868181819,2.238639636363636
1951.009,1.1325049198181818,2.2441858181818186
1952.009,1.1326816135454545,2.2485385454545455
1953.009,1.1301485595454546,2.2544358181818183
1954.009,1.125329638909091,2.258121636363636
1955.009,1.1185470135454545,2.265493181818182
1956.009,1.1115402426363639,2.2716712727272728
1957.009,1.1054522184545454,2.275953818181818
1958.009,1.1015405426363636,2.2823425454545454
1959.009,1.0997343612727273,2.2858528181818185
1960.009,1.0986146862727273,2.2911884545454546
1961.009,1.0975501833636363,2.2973665454545458
1962.009,1.0972252827272728,2.3015087272727275
1963.009,1.0980637698181819,2.307406
1964.009,1.1007222313636364,2.3110567272727276
1965.009,1.1047923396363635,2.316251909090909
1966.009,1.110018489090909,2.319656909090909
1967.009,1.115086257,2.3227809999999995
1968.009,1.119149864909091,2.3275199090909093
1969.009,1.121119754909091,2.329520727272727
1970.009,1.1209690024545453,2.3352073636363637
1971.009,1.119679392090909,2.339489909090909
1972.009,1.118786034818182,2.343281
1973.009,1.1187847176363637,2.348019818181818
1974.009,1.1198989124545455,2.3524427272727273
1975.009,1.1208094213636364,2.357918727272727
1976.009,1.1209464119090908,2.361709818181818
1977.009,1.120361759909091,2.364237181818182
1978.009,1.1200690673636364,2.370625909090909
1979.009,1.1211825372727273,2.374943545454545
1980.009,1.123316681909091,2.380875909090909
1981.009,1.1254972976363637,2.385053090909091
1982.009,1.1265829348181817,2.3872645454545456
1983.009,1.1264731314545455,2.3922842727272724
1984.009,1.126346967909091,2.3961104545454543
1985.009,1.1267745086363636,2.399304818181818
1986.009,1.1275813708181819,2.4037628181818183
1987.009,1.1285310915454547,2.4066763636363637
1988.009,1.1295293575454546,2.4127842727272726
1989.009,1.130025147727273,2.4159434545454546
1990.009,1.1297293016363634,2.4187165454545454
1991.009,1.1292034712727272,2.4222619090909094
1992.009,1.1293221913636364,2.4256318181818184
1993.009,1.1312085241818182,2.4312833636363638
1994.009,1.1338755827272726,2.4344074545454544
1995.009,1.1356117264545456,2.436759363636364
1996.009,1.1357499249090908,2.441428
1997.009,1.1355757825454544,2.4453244545454544
1998.009,1.1363310865454546,2.4477465454545455
1999.009,1.1379681804545454,2.4508004545454543
2000.009,1.1396184112727272,2.453292818181818
2001.009,1.1404013823636363,2.4587688181818184
2002.009,1.1399446995454545,2.4633672727272726
2003.009,1.138431284272727,2.4668775454545457
2004.009,1.1361072999090909,2.4703527272727275
2005.009,1.1337097873636364,2.472143
2006.009,1.1311827107272727,2.477970090909091
2007.009,1.127849449,2.4811995454545457
2008.009,1.123532383,2.4845693636363637
2009.009,1.1189841085454546,2.490220909090909
2010.009,1.1151867180000001,2.494082181818182
2011.009,1.1123648043636363,2.4972765454545454
2012.009,1.1098978353636364,2.5004007272727273
2013.009,1.1075940274545455,2.502612181818182
2014.009,1.105122266909091,2.5037354545454544
2015.009,1.102935577090909,2.5074212727272727
2016.009,1.1015914453636364,2.511107
2017.009,1.101711994090909,2.5123706363636362
2018.009,1.1033017728181818,2.515178909090909
2019.009,1.105293420909091,2.5163724545454547
2020.009,1.1064877658181818,2.520725181818182
2021.009,1.1065697564545454,2.521637909090909
2022.009,1.106427243090909,2.525113
2023.009,1.1073819435454546,2.528833818181818
2024.009,1.109962068,2.530589
2025.009,1.113786869909091,2.5342396363636364
2026.009,1.117404329090909,2.535784090909091
2027.009,1.119584444090909,2.538943363636364
2028.009,1.1202749884545453,2.540838909090909
2029.009,1.120480868090909,2.543296090909091
2030.009,1.1215630403636363,2.547297818181818
2031.009,1.1229460711818182,2.5471925454545454
2032.009,1.1246384044545454,2.5504921818181816
2033.009,1.1259876040909091,2.552071818181818
2034.009,1.1266523588181818,2.5536514545454545
2035.009,1.126473929818182,2.557267
2036.009,1.125792113818182,2.5613389090909093
2037.009,1.1255307837272728,2.5637259090909095
2038.009,1.1257168684545455,2.564989636363636
2039.009,1.1272261462727273,2.567762818181818
2040.009,1.1285702074545456,2.570149818181818
2041.009,1.1294910716363635,2.5728527272727275
2042.009,1.130004847909091,2.573730272727273
2043.009,1.1297997344545456,2.5755907272727274
2044.009,1.1287067862727274,2.5778373636363634
2045.009,1.1268698992727273,2.5799084545454547
2046.009,1.1239168027272728,2.5816285454545453
2047.009,1.1201261727272729,2.5815934545454544
2048.009,1.1160377151818182,2.584928181818182
2049.009,1.1126886185454545,2.5872098181818184
2050.009,1.1094859403636363,2.5901232727272725
2051.009,1.1070965517272726,2.591667727272727
2052.009,1.1052706473636364,2.5925452727272726
2053.009,1.1035509494545455,2.5960204545454544
2054.009,1.1012976453636363,2.5977755454545455
2055.009,1.0995490484545454,2.600689
